timestamp,temperature,humidity
2025-04-16T14:13:16.830627,27.5,74.5
2025-04-16T14:13:21.086220,27.5,74.4
2025-04-16T14:13:24.913862,27.5,74.5
2025-04-16T14:13:29.978289,27.5,74.5
2025-04-16T14:13:34.414597,27.5,74.5
2025-04-16T14:13:39.096080,27.5,74.5
2025-04-16T14:13:43.854567,27.5,74.4
2025-04-16T14:13:48.867935,27.4,74.6
2025-04-16T14:13:53.479443,27.5,74.7
2025-04-16T14:14:00.595295,27.5,74.7
2025-04-16T14:14:05.101742,27.5,74.7
2025-04-16T14:14:09.657489,27.4,74.8
2025-04-16T14:14:14.573316,27.4,74.9
2025-04-16T14:14:19.231582,27.4,74.9
2025-04-16T14:14:23.328614,27.4,74.9
2025-04-16T14:14:27.833538,27.4,74.9
2025-04-16T14:14:32.542622,27.4,74.8
2025-04-16T14:14:37.310865,27.4,74.9
2025-04-16T14:14:41.713113,27.4,74.8
2025-04-16T14:14:46.891533,27.4,74.9
2025-04-16T14:14:50.914570,27.4,74.8
2025-04-16T14:14:55.275657,27.4,74.9
2025-04-16T14:14:59.411456,27.4,75.0
2025-04-16T14:15:03.467676,27.4,74.9
2025-04-16T14:15:07.444264,27.4,75.0
2025-04-16T14:15:11.159033,27.4,75.0
2025-04-16T14:15:15.806919,27.4,74.9
2025-04-16T14:15:19.665986,27.4,75.0
2025-04-16T14:15:23.741377,27.4,75.0
2025-04-16T14:15:27.635948,27.4,75.0
2025-04-16T14:15:31.522801,27.4,75.1
2025-04-16T14:15:35.525260,27.4,75.1
2025-04-16T14:15:39.715215,27.4,75.1
2025-04-16T14:15:43.811847,27.4,75.1
2025-04-16T14:15:48.521782,27.4,75.0
2025-04-16T14:15:52.617217,27.4,75.0
2025-04-16T14:15:56.919219,27.4,75.1
2025-04-16T14:16:01.013676,27.4,75.0
2025-04-16T14:16:04.931036,27.4,75.2
2025-04-16T14:16:08.910961,27.4,75.2
2025-04-16T14:16:12.816153,27.4,75.3
2025-04-16T14:16:16.987104,27.4,75.3
2025-04-16T14:16:21.083220,27.4,75.3
2025-04-16T14:16:24.911998,27.4,75.3
2025-04-16T14:16:28.662656,27.4,75.3
2025-04-16T14:16:32.865947,27.4,75.4
2025-04-16T14:16:37.261735,27.4,75.3
2025-04-16T14:16:41.357705,27.4,75.3
2025-04-16T14:16:45.249913,27.4,75.4
2025-04-16T14:16:49.551376,27.4,75.5
2025-04-16T14:18:01.432619,27.3,75.4
2025-04-16T14:18:06.034206,27.3,75.5
2025-04-16T14:18:09.957503,27.3,75.5
2025-04-16T14:18:14.240907,27.3,75.5
2025-04-16T14:18:17.953486,27.3,75.5
2025-04-16T14:18:22.018052,27.3,75.4
2025-04-16T14:18:25.552585,27.3,75.5
2025-04-16T14:18:30.104780,27.3,75.4
2025-04-16T14:18:34.199714,27.3,75.4
2025-04-16T14:18:38.058624,27.4,75.4
2025-04-16T14:18:42.460479,27.4,75.4
2025-04-16T14:18:49.208010,27.4,75.4
2025-04-16T14:18:53.245916,27.4,75.4
2025-04-16T14:18:57.545755,27.3,75.4
2025-04-16T14:19:01.717509,27.4,75.3
2025-04-16T14:19:05.564334,27.4,75.3
2025-04-16T14:19:09.542724,27.4,75.4
2025-04-16T14:19:13.564630,27.4,75.3
2025-04-16T14:19:18.128452,27.4,75.3
2025-04-16T14:19:21.813892,27.4,75.2
2025-04-16T14:19:25.603838,27.4,75.3
2025-04-16T14:19:29.352108,27.4,75.2
2025-04-16T14:19:33.387529,27.4,75.2
2025-04-16T14:19:37.481267,27.4,75.2
2025-04-16T14:19:41.587587,27.4,75.2
2025-04-16T14:19:45.674099,27.3,75.2
2025-04-16T14:19:49.310577,27.4,75.3
2025-04-16T14:19:53.250999,27.4,75.2
2025-04-16T14:19:57.061014,27.4,75.2
2025-04-16T14:20:00.991938,27.4,75.3
2025-04-16T14:20:05.035453,27.3,75.3
2025-04-16T14:20:08.814395,27.3,75.4
2025-04-16T14:20:12.911189,27.3,75.4
2025-04-16T14:20:17.723775,27.3,75.3
2025-04-16T14:20:21.717246,27.3,75.3
2025-04-16T14:20:25.564091,27.3,75.3
2025-04-16T14:20:29.703138,27.3,75.4
2025-04-16T14:20:33.566080,27.3,75.4
2025-04-16T14:20:37.690826,27.3,75.4
2025-04-16T14:20:41.787448,27.3,75.4
2025-04-16T14:20:45.786296,27.3,75.5
2025-04-16T14:20:49.774108,27.3,75.5
2025-04-16T14:20:53.872988,27.3,75.5
2025-04-16T14:21:00.627562,27.3,75.5
2025-04-16T14:21:05.031186,27.3,75.6
2025-04-16T14:21:08.953585,27.3,75.7
2025-04-16T14:21:12.914637,27.3,75.7
2025-04-16T14:21:16.900059,27.3,75.7
2025-04-16T14:21:21.216859,27.3,75.8
2025-04-16T14:21:25.204629,27.3,75.7
2025-04-16T14:21:29.084765,27.3,75.7
2025-04-16T14:21:33.190259,27.3,75.7
2025-04-16T14:21:38.066612,27.2,75.7
2025-04-16T14:21:42.201005,27.2,75.8
